field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
q5,assessment_of_informed_consent_understanding,,radio,Q5) We will collect 3 teaspoons of blood from your infant twice  in four months,"1, True | 0, False",,,,,,,y,,,,,
m5,assessment_of_informed_consent_understanding,,text,m5,,,number,0,1,,"if([q5] =1, [q5], 0)",,,,,,@HIDDEN
q6,assessment_of_informed_consent_understanding,,radio,Q6) A fieldworker will visit your infant at home every day for four months,"1, True | 0, False",,,,,,,y,,,,,
m6,assessment_of_informed_consent_understanding,,text,m6,,,number,0,1,,"if([q6] =1, [q6], 0)",,,,,,@HIDDEN
q7,assessment_of_informed_consent_understanding,,radio,Q7) You will  not be paid for participating in this study,"1, True | 0, False",,,,,,,y,,,,,
m7,assessment_of_informed_consent_understanding,,text,m7,,,number,0,1,,"if([q7] =0, [q7], 1)",,,,,,@HIDDEN
q8,assessment_of_informed_consent_understanding,,radio,8) Study nurses can't tell your friend about your participation in the study,"1, True | 0, False",,,,,,,y,,,,,
m8,assessment_of_informed_consent_understanding,,text,m8,,,number,0,1,,"if([q8] =0,[q8], 1)",,,,,,@HIDDEN
q9,assessment_of_informed_consent_understanding,,radio,9) You are free to withdraw from the study at any time,"1, True | 0, False",,,,,,,y,,,,,
m9,assessment_of_informed_consent_understanding,,text,m9,,,number,0,1,,"if([q9] =1, 1, 0)",,,,,,@HIDDEN
q10,assessment_of_informed_consent_understanding,,radio,10) During this study you can receive your usual medical care ,"1, True | 0, False",,,,,,,y,,,,,
m10,assessment_of_informed_consent_understanding,,text,m10,,,number,0,1,,"if([q10] =1, 1, 0)",,,,,,@HIDDEN
results,assessment_of_informed_consent_understanding,,calc,Final scores:,"sum([q1],[q2],[q3],[q4],[q5],[q6],[q7],[q8],[q9],[q10])",,,,,,,,,,,,@HIDDEN
show_score,assessment_of_informed_consent_understanding,,radio,,"1, Show final score",,,,,,,,,,,,
display_results,assessment_of_informed_consent_understanding,,descriptive,"<center><font size=""3"" color=""green"">Results of attempt: Volunteer answered :  [results] /  10 </center>
 ",,,,,,,[show_score] = '1',,,,,,
attempt_2_msg,assessment_of_informed_consent_understanding,,descriptive,"<center><font size=""2"" color=""red"">
repeat the inform consent and ensure Parent or Guardian understand
the informed consent and repeat the assessment of inform consent understanding on another instance If the participant has less 9/10 second time ""DO NOT ENROLED""
 </center>


",,,,,,,[show_score] = '1' and [results]=8,,,,,,
inform_consent_assement_msg3,assessment_of_informed_consent_understanding,,descriptive,"<center><font size=""3"" color=""Green"">
<strong>Have Pass the Assessment of inform consent understanding you can enrol the participant</strong>",,,,,,,[show_score] = '1' and [results]=10,,,,,,
inform_consent_assement_msg4,assessment_of_informed_consent_understanding,,descriptive,"<center><font size=""3"" color=""Green"">
<strong>Review and ensure that the missed or incorrect question properly explain and understood.</strong>",,,,,,,[show_score] = '1' and [results]=9,,,,,,
sdoc_sourcedocu_q1,sourcedocument,,file,Q1) Upload the source document,,,,,,,,y,,,,,@SYNC-APP
sdoc_typesdocument_q2,sourcedocument,,radio,Q2) Types of Source documents,"1, Infant welfare card | 2, Hospital/Clinic Record",,,,,,,y,LV,,,,
pres_vdate_q1,prescreening,,text,1. Date of Visit,,,date_dmy,,,,,y,,,,,@TODAY
a_was_participant_seen,prescreening,,radio,1a) was participant seen ?,"1, yes | 2, no",,,,,,,,,,,,
q1b_if_no_give_reason,prescreening,,dropdown,Q1b) If no give reason?,"1, participant could not be located | 2, participant travel",,,,,,[a_was_participant_seen] = '2',y,,,,,
q1c_was_hb_obtained,prescreening,,radio,Q1c Was Hb obtained?,"1, yes | 2, no",,,,,,[a_was_participant_seen] = '1',y,,,,,
q2a_if_no_give_reason,prescreening,,dropdown,Q2a) if no give reason,"1, parent/guardian declined",,,,,,[q1c_was_hb_obtained] = '2',y,,,,,
pres_hemoglobin_q2,prescreening,,text,2.Hemoglobin (g/dL),,,number_1dp,7.0,18.0,,,y,,,,,
alart_messg,prescreening,,descriptive,<h1 style='color:red'> Advise parent/ guardian to seek care in the nearest hospital </h1>,,,,,,,[pres_hemoglobin_q2]<7.0 or [pres_hemoglobin_q2] > 11,y,,,,,
anth_datecoll_q1,anthrops,,text,Q1) Date collected,,,date_dmy,,,,,y,,,,,@TODAY
a_was_the_birth_weight_ava,anthrops,,radio,1a) Was the birth weight available in the infant welfare card ?,"1, yes | 2, no",,,,,,,y,,,,,
anth_birthweight_q2,anthrops,,text,Q2) Birth weight (From infant welfare card),,,number_2dp,0.00,,,[a_was_the_birth_weight_ava]='1',y,,,,,
anth_weight_q3,anthrops,,text,Q3) Weight (kg),,2 decimal (eg 4.25 ),number_2dp,0.00,,,,y,,,,,
anth_height_q4,anthrops,,text,Q4) Height (cm),,2 decimal eg 4.10 ,number_2dp,0.00,,,,y,,,,,
z_score_q5,anthrops,,text,5) Z-score ,,2 decimal eg 4.10 ,number_2dp,-4.00,5.00,,,y,,,,,
anth_staffid_q6,anthrops,,text,Q6) Staff completing form(ID),,,,,,,,y,,,,,@APPUSERNAME-APP
demo_date_q1,demograhics,,text,Q1) Visit Date,,,date_dmy,,,,,y,,,,,@TODAY
demo_age_q2,demograhics,"<center><font size=""4"" color=""green"">Parent/Guardian </center>",text,Q2) Age,,,integer,0,,,,y,,,,,
demo_gender_q3,demograhics,,radio,Q3) Gender,"1, Male | 2, Female",,,,,,,y,RH,,,,
demo_ethinicity_q4,demograhics,,dropdown,Q4) Ethnicity,"1, Mandinka | 2, Fulla | 3, Wollof | 4, Jola | 5, Sere | 6, Bainunka | 7, Balanta | 8, Serahule",,,,,,,y,RH,,,,
demo_marital_q5,demograhics,,dropdown,Q5) Marital status,"1, Single | 2, Married | 3, Widowed/Widower",,,,,,,y,RH,,,,
demo_occu_q6,demograhics,,dropdown,Q6) Occupation,"1, Informal employment | 2, Formal employment | 3, Housewife",,,,,,,y,RH,,,,
demo_edu_q7,demograhics,,dropdown,Q7) Level of education,"1, No education | 2, Primary education | 3, Secondary education | 4, Higher education",,,,,,,y,RH,,,,
demo_parity_q8,demograhics,,text,Q8) How many children did you have,,,integer,0,,,,y,,,,,
demo_childage_q10,demograhics,"<center><font size=""4"" color=""green"">Child </center>",calc,Q10) Age,[v1_arm_1][dob],,,,,,,y,RH,,,,
demo_childgender_q11,demograhics,,radio,Q11) Gender,"1, Male | 2, Female",,,,,,,y,RH,,,,
demo_childethinnicity_q12,demograhics,,dropdown,Q12) Ethinicity,"1, Mandinka | 2, Fulla | 3, Wollof | 4, Jola | 5, Sere | 6, Bainunka | 7, Balanta",,,,,,,y,RH,,,,
demo_staff_q13,demograhics,,text,Q13) Staff completing form(ID),,,,,,,,y,,,,,@APPUSERNAME-APP
vsig_visitdate_q1,vitalsign,,text,Q1) Visit date,,,date_dmy,,,,,y,,,,,@TODAY
vsig_visittime_q2,vitalsign,,text,Q2) Visit time,,,time,,,,,y,,,,,
vsig_heartrate_q3,vitalsign,,text,Q3) Heart rate/min,,Between 100 to 155 inclusive,integer,0,,,,y,,,,,
vsig_rr_q3a,vitalsign,,text,3a) Respiratory rate/min(RR),,,integer,23,53,,,y,,,,,
msg_outrange,vitalsign,,descriptive,"<center><font size=""4"" color=""green"">Out of this range consult the clinician  </center>",,,,,,,[vsig_heartrate_q3]<100 or [vsig_heartrate_q3]>150,,,,,,
vsig_axiltemp_q4,vitalsign,,text,Q4) Axillary Temperature (°C),,between 35.5 to 37.5 inclusive,number_1dp,35.5,37.5,,,y,,,,,
vsig_crefilltime_q5,vitalsign,,dropdown,Q5) Capillary refill time ,"1, >3secs | 2, < 3 secs",,,,,,,y,,,,,
msg_repeat,vitalsign,,descriptive,"<center><font size=""4"" color=""green"">Repeat test if out of the normal range and consult research clinician   </center>",,,,,,,[vsig_crefilltime_q5]='1',,,,,,
vsig_activity_q6,vitalsign,,checkbox,Q6) Activity,"1, Responds normally to social cues | 2, Weak | 3, Content/ smiles, | 4, Stays awake/ awakens quickly | 5, Strong normal cry | 6, Not crying | 7, Not responding normally to social cues | 8, No smile | 9, Wakes only with prolonged stimulation | 10, Decreased activity | 11, No response to social cues | 12, Appears ill to a healthcare professional | 13, Does not wake or if roused does not stay awake | 14, High pitched or continuous cry",,,,,,,y,,,,,@HIDDEN
vsig_compstaffid_q7,vitalsign,,text,Q7) Staff completing form(ID),,,,,,,,,,,,,@APPUSERNAME-APP
scre_date_q1,screening,,text,1) Date of Screening,,,date_dmy,,,,,y,,,,,@TODAY
scre_studyarea_q2,screening,"<center><font size=""4"" color=""green"">Inclusion criteria </center>",yesno,2) Is the parent/guardian with participant currently residing in the study area and are willing to stay for the entire study duration?,,,,,,,,y,RH,,,,
scre_padhprotocolvisit_q3,screening,,yesno,3) Is the participant willing  to comply with all study procedures and adhere to the study protocol?,,,,,,,[scre_studyarea_q2]='1',y,RH,,,,
scre_agebetween_q4,screening,,yesno,4) Is the participant's age between  6-12 Months at the time of enrolment​?,,,,,,,[scre_padhprotocolvisit_q3]='1',y,RH,,,,
agehint,screening,,calc,Tips: Age in Months at enrolment:  ,[dob],,,,,,,,,,,,
scre_partanaemic_q5,screening,,yesno,5)  Is the participant anaemic with Hb < 11.0 g/dl and >=7.0 g/dl.,,,,,,,[scre_agebetween_q4]='1',y,RH,,,,
screenfailmsg_2,screening,,descriptive,"<center><font size=""5"" color=""red"">This participant has failed the inclusion criteria. Stop here and save the form !</center>




",,,,,,,([scre_studyarea_q2]='0' or [scre_padhprotocolvisit_q3]='0' or 	[scre_agebetween_q4]='0' or [scre_partanaemic_q5]='0'),,,,,,
exclusion_caption,screening,,descriptive,"<center><font size=""3"" color=""green"">Exclusion criteria </center>",,,,,,,[scre_partanaemic_q5]='1',y,,,,,
scre_acuteillness_q6,screening,,yesno,6) Was the participant born premature or very low birth weight (< 1500g)? ,,,,,,,[scre_partanaemic_q5]='1',y,RH,,,,
scre_partwhz_q7,screening,,yesno,7)  Is the participant WHZ < -4 SD ,,,,,,,,y,RH,,,,@HIDDEN
hint,screening,,calc,Z-score Hint ,[z_score_q5],,,,,,,,,,,,@HIDDEN
scree_childill_q8,screening,,yesno,8)Is the child currently ill?,,,,,,,[scre_acuteillness_q6]='0',y,,,,,
screenfailmsg_4,screening,,descriptive,"<center><font size=""5"" color=""green"">To be further assessed by research clinician or nurses !</center>




",,,,,,,([scree_childill_q8]='1'),,,,,,
scre_partrecentlyhosp_q9,screening,,yesno,9) Is there any history of hospital admission in the past two weeks?,,,,,,,[scree_childill_q8]='1' or [scree_childill_q8]='0',y,RH,,,,
reason_for_hospitalization,screening,,notes,reason for hospitalization ,,,,,,,([scre_partrecentlyhosp_q9]='1'),,,,,,
screenfailmsg_6,screening,,descriptive,"<center><font size=""5"" color=""green"">To be further assessed by research clinician or nurses!</center>




",,,,,,,([scre_partrecentlyhosp_q9]='1'),,,,,,
scre_hepcinf_q10,screening,,yesno,"10) Is there any history of HIV, chronic hepatitis B or chronic hepatitis C infection?",,,,,,,[scre_partrecentlyhosp_q9]='0' or [scre_partrecentlyhosp_q9]='1',y,RH,,,,
scre_adprotocolpro_q11,screening,,yesno,11) Is there any condition that in the opinion of the investigator might compromise the safety or well being of the subject or compromise adherence to protocol procedures?,,,,,,,[scre_hepcinf_q10]='0',y,RH,,,,
scre_formula_q12,screening,,yesno,12)  Are infants formula fed or their mothers planning to use commercially available infant formula during the study period (12 weeks),,,,,,,[scre_adprotocolpro_q11]='0',y,RH,,,,
scre_30daysprioiniadmin_q13,screening,,yesno,13) Has infant been given iron supplement in the past 30 days prior to study initiation or plan administration during the study period?,,,,,,,[scre_formula_q12]='0',y,RH,,,,
scre_hmeningitisneudisorders_q14,screening,,yesno,"14) Is there any History of meningitis, seizures, Guillain-Barré syndrome, or other neurological disorders? ",,,,,,,[scre_30daysprioiniadmin_q13]='0',y,RH,,,,
screenfailmsg_5,screening,,descriptive,"<center><font size=""5"" color=""green"">To be further assessed by research clinician or nurses!</center>




",,,,,,,([scre_hmeningitisneudisorders_q14]='1'),,,,,,
screenfailmsg_3,screening,,descriptive,"<center><font size=""5"" color=""red"">This participant has failed the exclusion criteria. Stop here and save the form !</center>




",,,,,,,([scre_acuteillness_q6]='1' or [scre_partwhz_q7]='1' or [scre_hepcinf_q10]='1' or [scre_adprotocolpro_q11]='1' or [scre_formula_q12]='1' or [scre_30daysprioiniadmin_q13]='1'),,,,,,
scre_compstaffid_q15,screening,,text,15) Staff completing form(ID),,,,,,,,y,RH,,,,@APPUSERNAME-APP
bld_datecoll_q1,bloodsamplecollection,,text,Q1)Date collected,,,date_dmy,,,,,y,,,,,@TODAY
bld_samplecoll_q3,bloodsamplecollection,,yesno,Q3) Was a blood sample collected,,,,,,,,y,RH,,,,
bld_bdtimecoll_q2,bloodsamplecollection,,text,Q2) Time blood was collected,,,time,,,,[bld_samplecoll_q3]='1',y,,,,,
bld_ifnorea_q4,bloodsamplecollection,,dropdown,Q4) If no - what was the reason,"2, Parent refusal | 3, Unable to obtain sample | 4, Travel",,,,,,[bld_samplecoll_q3]='0',,,,,,
msg_ineligible,bloodsamplecollection,,descriptive,"<center><font size=""4"" color=""red"">The participant should be withdrawn, proceed to the withdrawal CRF </center>",,,,,,,[bld_ifnorea_q4] = '2',,,,,,
bld_edta_q5,bloodsamplecollection,Blood ,text,Q5) EDTA  (mL) 0.5ml,,,number_1dp,,,,[bld_samplecoll_q3]='1',y,,,,,
bld_serum_q6,bloodsamplecollection,,text,Q6) Serum gel  (mL) 3.0 ml,,,number_1dp,,,,[bld_samplecoll_q3]='1',,,,,,
if_the_actual_amount_of_bl,bloodsamplecollection,,dropdown,If the actual amount of blood is not collected give reason ,"1, difficult to bleed | 2, mother refused",,,,,,[bld_samplecoll_q3]='1',,,,,,
bld_compstaffid_q7,bloodsamplecollection,,text,Q7) Staff completing form(ID),,,,,,,,y,,,,,@APPUSERNAME-APP
stol_visitdate_q1,stoolsamplecollection,,text,1. Visit date,,,date_dmy,,,,,y,,,,,@TODAY
stol_visittime_q2,stoolsamplecollection,,text,2. Visit time,,,time,,,,,y,,,,,
stol_stlobtained_q3,stoolsamplecollection,,yesno,3. Was a stool obtained,,,,,,,,y,RH,,,,
stol_ifnoreas_q5,stoolsamplecollection,,notes,4. If no - what was the reason,,,,,,,[stol_stlobtained_q3]='0',,,,,,
stol_collectedby_q4,stoolsamplecollection,,text,5. Collected by,,,,,,,[stol_stlobtained_q3]='1',y,,,,,@APPUSERNAME-APP
stool_nostool_q5a,stoolsamplecollection,,descriptive,"<div class=""rich-text-field-label""><h2 style=""text-align: left;""><span style=""background-color: #169179;"">5a) If the participant does not produce stool in the clinic, stool sample should be collected at home.</span></h2></div>",,,,,,,[stol_stlobtained_q3]='0',,,,,,
rand_date_q1,randomization,,text,Q1) Randomization date ,,,date_dmy,,,,,y,,,,,@TODAY
rand_time_q2,randomization,,text,Q2) Randomization time ,,,time,,,,,y,,,,,
rand_treatgroup_q3,randomization,,radio,Q3) Treatment  group,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6",,,,,,,y,,,,,
iron_patcontactdate_q1,ironsupplement,,text,Q1) Date of patient contact,,,date_dmy,,,,,y,,,,,@TODAY
iron_visitstatus_q1a,ironsupplement,,yesno,Q1a) Was the participant seen,,,,,,,,y,,,,,
have_you_checked_that_id_i,ironsupplement,,descriptive,"<div class=""rich-text-field-label""><h2><span style=""color: #e03e2d;"">Have you checked that  the ID on the infant welfare card matches the ID in the zip lock bag</span></h2></div>",,,,,,,[iron_visitstatus_q1a]='1',,,,,,
iron_visitreason_q1b,ironsupplement,,dropdown,Q1b. Reason ,"1, Participant travel | 2, Could not be located | 3, Hospitalized and iron withheld",,,,,,[iron_visitstatus_q1a]='0',,,,,,
iron_supferrouspri_q2,ironsupplement,,yesno,Q2) Was the oral supplement administered,,,,,,,[iron_visitstatus_q1a] = '1',y,RH,,,,
iron_suppwithheld_q2a,ironsupplement,,yesno,Q2a) Was iron supplement withheld,,,,,,,[iron_supferrouspri_q2]='0',,,,,,
iron_suppwithheldreason_q2b,ironsupplement,,checkbox,Q2b) Give reason,"1, was it due to confirmed fever (axillary temperature >37.5°C) not associated with teething or vaccination | 2, was it due to visually confirmed bloody diarrhoea | 3, was it due to hospitalisation for somatic illness | 4, Was it due to treatment with antibiotics for any confirmed or suspected somatic infection | 5, was it due to confirmed fever plus dipstick-test confirmed parasitaemia",,,,,,[iron_suppwithheld_q2a] = '1',,LV,,,,
iron_suppamount_q3,ironsupplement,,yesno,Q3) Amount received (10 mg),,,,,,,[iron_supferrouspri_q2]='1',y,RH,,,,
iron_suppreceive10mlgreas_q4,ironsupplement,,dropdown,Q4) If the child did not receive 10 mg- give reason ,"1, Vomit | 2, Spit out | 3, Refuse",,,,,,[iron_suppamount_q3]='0',,,,,,
iron_supptime_q5,ironsupplement,,text,Q5) Time,,,time,,,,[iron_suppamount_q3]='1',y,,,,,
ip_administer,ironsupplement,,yesno,"5a) If the child did not receive 10.0mg, was the IP re-administered?",,,,,,,[iron_suppamount_q3]='0',,,,,,
iron_suppgreason_q6,ironsupplement,,checkbox,Q6) Give reason,"1, Was it due to parent refusal | 2, Other","Note: In case of 48-hour history of fever as reported by the mother (or guardian) that is not confirmed axillary temperature ≤37.5°C), ask the mother/guardian to bring the child after 6 hours, and repeat measurement",,,,,[iron_suppwithheld_q2a]='0',,LV,,,,
iron_suppotherspec_q7,ironsupplement,,notes,Q7) Specify,,,,,,,[iron_suppgreason_q6(2)] = '1',,,,,,
msg_complete_ae,ironsupplement,,descriptive,"<center><font size=""4"" color=""green"">Complete AE eCRF</center>",,,,,,,[iron_suppwithheldreason_q2b(1)] = '1' or [iron_suppwithheldreason_q2b(2)] = '1' or [iron_suppwithheldreason_q2b(3)] = '1' or [iron_suppwithheldreason_q2b(4)] = '1' or [iron_suppwithheldreason_q2b(5)] = '1',,,,,,
iron_suppstaffid_q8,ironsupplement,,text,Q8) Staff completing form(ID),,,,,,,,y,,,,,@APPUSERNAME-APP
feed_vdate_q1,feedingquestionaire,,text,2) Visit date,,,date_dmy,,,,,y,,,,,@TODAY
feed_participantseen_q2,feedingquestionaire,,yesno,2b. Was the participant seen today,,,,,,,,y,,,,,
feed_participantnoseen_q3,feedingquestionaire,,dropdown,2c. Give reason,"1, Participant travelled | 2, Participant could not be located | 3, Participant hospitalised and iron withheld | 4, Other",,,,,,[feed_participantseen_q2]='0',,,,,,
feed_vtime_q4,feedingquestionaire,,text,3) Visit time,,,time,,,,,y,,,,,
feed_past7daysotherfood,feedingquestionaire,,descriptive,"<div class=""rich-text-field-label""><h2 style=""text-align: center;"">How many times have you given each of the other foods in the past 7 days?</h2></div>",,,,,,,,,,,,,
feed_cowmilkfrequency_q4,feedingquestionaire,,dropdown,4. How many times have you given cow milk to your child in the past 7 days?,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 or more",,,,,,[feed_participantseen_q2]='1',y,,,,,
feed_pow_milk_freque_q5,feedingquestionaire,,dropdown,5. How many times have you given powdered milk to your child in the past 7 days?,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 or more",,,,,,([feed_cowmilkfrequency_q4]='0' or 	[feed_cowmilkfrequency_q4]='1' or 	[feed_cowmilkfrequency_q4]='2' or 	[feed_cowmilkfrequency_q4]='3' or 	[feed_cowmilkfrequency_q4]='4'),y,,,,,
feed_teamilkfrequency_q6,feedingquestionaire,,dropdown,6. How many times have you given tea with milk to your child in the past 7 days?,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 or more",,,,,,([feed_pow_milk_freque_q5]='0' or [feed_pow_milk_freque_q5]='1' or [feed_pow_milk_freque_q5]='2' or [feed_pow_milk_freque_q5]='3' or [feed_pow_milk_freque_q5]='4'),y,,,,,
feed_spcify_other_q7,feedingquestionaire,,dropdown,7. How many times have you given commercial infant formular (lactogen) to your child in the past 7 days?,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 or more",,,,,,([feed_teamilkfrequency_q6]='0' or [feed_teamilkfrequency_q6]='1' or [feed_teamilkfrequency_q6]='2' or [feed_teamilkfrequency_q6]='3' or [feed_teamilkfrequency_q6]='4'),y,,,,,
feed_commercial_q8,feedingquestionaire,,dropdown,8. How many times have you given nutrilac  to your child in the past 7 days?,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 or more",,,,,,([feed_spcify_other_q7]='0' or [feed_spcify_other_q7]='1' or [feed_spcify_other_q7]='2' or [feed_spcify_other_q7]='3' or [feed_spcify_other_q7]='4'),y,,,,,
feed_lactogenfrequency_q9,feedingquestionaire,,dropdown,9. How many times have you given nutribom to your child in the  past 7 days?,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 or more",,,,,,([feed_commercial_q8]='0' or [feed_commercial_q8]='1' or [feed_commercial_q8]='2' or [feed_commercial_q8]='3' or [feed_commercial_q8]='4'),y,,,,,
feed_ceralac_frequency_q10,feedingquestionaire,,dropdown,10. How many times have you given cerelac to your child in the past 7 days?,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 or more",,,,,,([feed_lactogenfrequency_q9]='0' or [feed_lactogenfrequency_q9]='1' or 	[feed_lactogenfrequency_q9]='2' or 	[feed_lactogenfrequency_q9]='3' or 	[feed_lactogenfrequency_q9]='4'),y,,,,,
feed_potato_frequency_q11,feedingquestionaire,,dropdown,11. How many times have you given powdered potato  to your child in the past 7 days?,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 or more",,,,,,([feed_ceralac_frequency_q10]='0' or [feed_ceralac_frequency_q10]='1' or [feed_ceralac_frequency_q10]='2' or [feed_ceralac_frequency_q10]='3' or [feed_ceralac_frequency_q10]='4'),y,,,,,
feed_cook_q12,feedingquestionaire,,dropdown,12. How many times have you given cooked green leaves to your child in the past 7 days?,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 or more",,,,,,([feed_potato_frequency_q11]='0' or 	[feed_potato_frequency_q11]='1' or 	[feed_potato_frequency_q11]='2' or 	[feed_potato_frequency_q11]='3' or 	[feed_potato_frequency_q11]='4'),y,,,,,
feed_vege_q13,feedingquestionaire,,dropdown,13. How many times have you given vegetables to your child in the past 7 days?,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 or more",,,,,,([feed_cook_q12]='0' or [feed_cook_q12]='1' or [feed_cook_q12]='2' or [feed_cook_q12]='3' or [feed_cook_q12]='4'),y,,,,,
feedq_cooked_rice_14,feedingquestionaire,,dropdown,14. How many times have you given cooked rice to your child in the past 7 days?,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 or more",,,,,,([feedq_tiakere_churo_q23]='0' or [feedq_tiakere_churo_q23]='1' or [feedq_tiakere_churo_q23]='2' or [feedq_tiakere_churo_q23]='3' or [feedq_tiakere_churo_q23]='4'),y,,,,,
feed_eggfrequency_q15,feedingquestionaire,,dropdown,15. How many times have you given eggs to your child in the past 7 days?,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 or more",,,,,,([feedq_cooked_rice_14]='0' or [feedq_cooked_rice_14]='1' or [feedq_cooked_rice_14]='2' or [feedq_cooked_rice_14]='3' or [feedq_cooked_rice_14]='4'),y,,,,,
feedchickenfrequency_q16,feedingquestionaire,,dropdown,16. How many times have you given chicken to your child in the past 7 days?,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 or more",,,,,,([feed_eggfrequency_q15]='0' or [feed_eggfrequency_q15]='1' or [feed_eggfrequency_q15]='2' or [feed_eggfrequency_q15]='3' or [feed_eggfrequency_q15]='4'),y,,,,,
