Compound No.,Potentials,Sensitized,Differencies
77-015,0.0,1,-1.0
77-016,7.0,8,-1.0
77-018,2.0,3,-1.0
77-019,4.0,5,-1.0
77-020,3.0,4,-1.0
77-021,2.0,3,-1.0
77-022,2.0,3,-1.0
77-023,1.0,3,-2.0
77-024,0.0,1,-1.0
77-025,0.0,1,-1.0
77-026,2.0,1,1.0
77-027,2.0,3,-1.0
77-028,1.0,2,-1.0
77-029,1.0,2,-1.0
77-030,1.0,2,-1.0
77-031,2.0,3,-1.0
77-032,3.0,5,-2.0
77-033,0.0,1,-1.0
77-034,1.0,2,-1.0
77-035,3.0,4,-1.0
77-036,1.0,2,-1.0
77-037,1.0,3,-2.0
77-038,2.0,3,-1.0
77-039,1.0,2,-1.0
77-040,1.0,2,-1.0
77-041,1.0,2,-1.0
77-042,1.0,2,-1.0
77-043,1.0,2,-1.0
77-044,2.0,3,-1.0
77-045,0.0,1,-1.0
77-046,0.0,1,-1.0
77-047,1.0,2,-1.0
77-048,2.0,3,-1.0
77-049,1.0,2,-1.0
77-050,3.0,4,-1.0
77-051,0.0,1,-1.0
77-052,1.0,2,-1.0
78-001,1.0,2,-1.0
78-002,2.0,3,-1.0
78-003,2.0,2,0.0
78-004,1.0,2,-1.0
78-007,7.0,5,2.0
78-008,1.0,2,-1.0
78-009,0.0,1,-1.0
78-011,2.0,3,-1.0
78-012,0.0,1,-1.0
78-013,1.0,2,-1.0
78-014,1.0,2,-1.0
78-015,1.0,2,-1.0
78-016,0.0,1,-1.0
78-017,2.0,3,-1.0
78-018,0.0,1,-1.0
78-019,3.0,4,-1.0
78-021,0.0,1,-1.0
78-022,0.0,1,-1.0
78-023,0.0,1,-1.0
78-024,1.0,2,-1.0
78-025,1.0,2,-1.0
78-026,0.0,1,-1.0
78-027,5.0,6,-1.0
78-028,0.0,1,-1.0
78-029,0.0,1,-1.0
78-030,1.0,2,-1.0
78-031,0.0,1,-1.0
78-032,0.0,1,-1.0
78-033,1.0,2,-1.0
78-034,0.0,1,-1.0
78-035,1.0,2,-1.0
78-036,2.0,3,-1.0
78-037,2.0,1,1.0
78-038,0.0,1,-1.0
78-039,0.0,1,-1.0
78-040,0.0,1,-1.0
78-041,7.0,8,-1.0
78-043,0.0,1,-1.0
78-044,0.0,1,-1.0
78-045,1.0,2,-1.0
78-046,0.0,1,-1.0
78-047,1.0,1,0.0
78-048,3.0,5,-2.0
78-049,1.0,2,-1.0
78-050,1.0,2,-1.0
78-052,0.0,1,-1.0
78-053,1.0,2,-1.0
78-054,5.0,6,-1.0
78-055,9.0,11,-2.0
78-056,1.0,2,-1.0
78-057,0.0,1,-1.0
78-058,1.0,2,-1.0
78-059,3.0,4,-1.0
78-060,3.0,4,-1.0
78-061,3.0,4,-1.0
78-062,0.0,1,-1.0
78-063,5.0,6,-1.0
78-065,1.0,2,-1.0
78-066,2.0,3,-1.0
78-068,6.0,8,-2.0
78-069,2.0,3,-1.0
78-070,0.0,1,-1.0
78-071,4.0,5,-1.0
78-072,1.0,2,-1.0
78-073,0.0,1,-1.0
78-074,0.0,1,-1.0
78-075,0.0,1,-1.0
78-076,0.0,1,-1.0
78-077,1.0,2,-1.0
78-078,2.0,3,-1.0
78-079,0.0,1,-1.0
78-080,0.0,1,-1.0
78-082,2.0,3,-1.0
78-084,3.0,4,-1.0
78-085,1.0,2,-1.0
78-086,0.0,1,-1.0
78-087,1.0,2,-1.0
78-088,2.0,3,-1.0
78-090,1.0,3,-2.0
78-091,1.0,2,-1.0
78-092,3.0,1,2.0
78-093,0.0,1,-1.0
78-094,0.0,1,-1.0
78-095,1.0,2,-1.0
78-096,1.0,2,-1.0
78-097,0.0,1,-1.0
78-098,1.0,2,-1.0
78-099,1.0,2,-1.0
78-100,1.0,2,-1.0
78-101,2.0,3,-1.0
78-102,2.0,3,-1.0
78-103,5.0,7,-2.0
78-104,1.0,2,-1.0
78-105,2.0,3,-1.0
78-106,2.0,3,-1.0
78-107,4.0,5,-1.0
78-108,5.0,6,-1.0
78-109,2.0,3,-1.0
78-110,5.0,6,-1.0
78-111,5.0,6,-1.0
78-112,5.0,6,-1.0
78-113,1.0,2,-1.0
78-114,4.0,5,-1.0
78-115,2.0,1,1.0
78-116,1.0,2,-1.0
78-117,1.0,2,-1.0
78-118,1.0,2,-1.0
78-119,0.0,1,-1.0
78-120,1.0,2,-1.0
78-121,1.0,2,-1.0
78-122,2.0,1,1.0
78-123,1.0,2,-1.0
79-001,14.0,12,2.0
79-002,3.0,4,-1.0
79-003,1.0,2,-1.0
79-004,8.0,9,-1.0
79-005,3.0,4,-1.0
79-006,0.0,1,-1.0
79-007,4.0,5,-1.0
79-008,6.0,8,-2.0
79-009,0.0,1,-1.0
79-010,0.0,1,-1.0
79-011,3.0,5,-2.0
79-012,2.0,3,-1.0
79-013,2.0,3,-1.0
79-014,0.0,1,-1.0
79-015,2.0,3,-1.0
79-016,2.0,3,-1.0
79-017,1.0,2,-1.0
79-018,4.0,5,-1.0
79-019,2.0,3,-1.0
79-020,2.0,3,-1.0
79-021,1.0,3,-2.0
79-022,2.0,3,-1.0
79-023,1.0,2,-1.0
79-024,7.0,7,0.0
79-025,3.0,4,-1.0
79-026,3.0,4,-1.0
79-027,3.0,4,-1.0
79-028,2.0,3,-1.0
79-029,4.0,5,-1.0
79-030,2.0,3,-1.0
79-031,1.0,2,-1.0
79-032,1.0,2,-1.0
79-034,1.0,2,-1.0
79-035,1.0,3,-2.0
79-036,2.0,3,-1.0
79-037,4.0,5,-1.0
79-038,2.0,3,-1.0
79-039,4.0,5,-1.0
79-040,3.0,4,-1.0
79-041,5.0,6,-1.0
79-042,3.0,4,-1.0
79-043,3.0,4,-1.0
79-044,3.0,4,-1.0
79-045,2.0,3,-1.0
79-046,7.0,8,-1.0
79-047,4.0,5,-1.0
79-048,2.0,3,-1.0
79-049,3.0,4,-1.0
79-050,1.0,3,-2.0
79-051,3.0,4,-1.0
79-052,0.0,1,-1.0
79-053,27.0,6,21.0
79-054,5.0,6,-1.0
79-055,4.0,5,-1.0
79-056,4.0,5,-1.0
79-057,1.0,2,-1.0
79-058,0.0,1,-1.0
79-059,7.0,8,-1.0
79-060,3.0,4,-1.0
79-061,6.0,7,-1.0
79-062,2.0,3,-1.0
79-063,2.0,3,-1.0
79-064,2.0,3,-1.0
79-065,3.0,4,-1.0
79-066,1.0,2,-1.0
79-067,4.0,5,-1.0
79-068,1.0,2,-1.0
79-069,1.0,2,-1.0
79-070,1.0,2,-1.0
79-071,3.0,4,-1.0
79-072,0.0,1,-1.0
79-073,0.0,1,-1.0
79-074,2.0,3,-1.0
79-075,1.0,2,-1.0
79-076,3.0,4,-1.0
79-077,3.0,4,-1.0
79-078,2.0,3,-1.0
79-079,1.0,2,-1.0
79-080,2.0,3,-1.0
79-081,3.0,4,-1.0
79-082,2.0,3,-1.0
79-083,2.0,3,-1.0
79-084,1.0,2,-1.0
79-085,3.0,4,-1.0
79-086,2.0,3,-1.0
79-087,2.0,3,-1.0
79-088,3.0,4,-1.0
79-089,5.0,6,-1.0
79-090,11.0,12,-1.0
79-091,1.0,3,-2.0
79-092,5.0,6,-1.0
79-094,6.0,7,-1.0
79-095,4.0,5,-1.0
79-096,4.0,5,-1.0
79-097,5.0,6,-1.0
79-098,3.0,4,-1.0
79-099,1.0,2,-1.0
79-102,3.0,4,-1.0
79-105,1.0,2,-1.0
79-106,0.0,1,-1.0
79-107,6.0,7,-1.0
79-108,4.0,5,-1.0
79-109,6.0,7,-1.0
79-110,2.0,3,-1.0
79-111,1.0,2,-1.0
79-112,3.0,4,-1.0
79-113,2.0,3,-1.0
79-114,7.0,7,0.0
79-115,3.0,4,-1.0
79-116,1.0,3,-2.0
80-001,8.0,9,-1.0
80-002,8.0,9,-1.0
80-003,2.0,3,-1.0
80-004,1.0,1,0.0
80-005,2.0,3,-1.0
80-006,1.0,1,0.0
80-007,2.0,3,-1.0
80-008,4.0,5,-1.0
80-009,4.0,5,-1.0
80-010,4.0,5,-1.0
80-011,1.0,2,-1.0
80-012,1.0,2,-1.0
80-013,2.0,3,-1.0
80-014,1.0,2,-1.0
80-015,2.0,3,-1.0
80-016,2.0,3,-1.0
80-017,8.0,9,-1.0
80-018,1.0,2,-1.0
80-019,2.0,3,-1.0
80-020,1.0,2,-1.0
80-021,3.0,4,-1.0
80-022,2.0,3,-1.0
80-024,4.0,5,-1.0
80-025,5.0,6,-1.0
80-026,1.0,2,-1.0
80-027,4.0,5,-1.0
80-028,4.0,5,-1.0
81-001,2.0,3,-1.0
81-002,5.0,6,-1.0
81-003,1.0,2,-1.0
81-004,1.0,3,-2.0
81-005,2.0,3,-1.0
81-006,1.0,2,-1.0
81-007,2.0,3,-1.0
81-008,1.0,2,-1.0
81-010,2.0,3,-1.0
82-001,1.0,2,-1.0
82-002,0.0,1,-1.0
82-003,2.0,3,-1.0
82-004,2.0,3,-1.0
82-005,2.0,3,-1.0
82-006,2.0,4,-2.0
82-007,3.0,4,-1.0
82-008,3.0,4,-1.0
82-009,2.0,3,-1.0
82-010,2.0,3,-1.0
82-011,1.0,1,0.0
82-012,7.0,8,-1.0
82-013,0.0,1,-1.0
82-014,1.0,3,-2.0
82-015,0.0,1,-1.0
82-016,1.0,2,-1.0
82-017,3.0,4,-1.0
82-018,2.0,3,-1.0
82-019,0.0,1,-1.0
82-020,1.0,2,-1.0
82-021,2.0,3,-1.0
82-023,3.0,1,2.0
82-024,2.0,3,-1.0
82-026,2.0,3,-1.0
82-027,0.0,1,-1.0
82-028,1.0,2,-1.0
82-029,1.0,2,-1.0
82-030,2.0,3,-1.0
82-031,3.0,4,-1.0
82-032,1.0,2,-1.0
82-033,0.0,1,-1.0
82-034,1.0,2,-1.0
82-035,1.0,2,-1.0
82-036,1.0,2,-1.0
82-037,2.0,3,-1.0
82-038,0.0,1,-1.0
82-039,1.0,2,-1.0
82-040,8.0,9,-1.0
82-041,1.0,2,-1.0
82-042,1.0,2,-1.0
82-043,1.0,2,-1.0
82-045,0.0,1,-1.0
82-046,1.0,2,-1.0
82-047,1.0,2,-1.0
83-001,1.0,2,-1.0
83-002,1.0,2,-1.0
83-004,1.0,2,-1.0
83-006,1.0,2,-1.0
83-007,1.0,4,-3.0
83-008,2.0,3,-1.0
83-009,1.0,2,-1.0
83-010,0.0,1,-1.0
83-011,1.0,2,-1.0
83-012,1.0,2,-1.0
83-013,1.0,2,-1.0
83-014,0.0,1,-1.0
83-015,1.0,2,-1.0
83-016,0.0,1,-1.0
83-018,0.0,1,-1.0
83-019,0.0,1,-1.0
83-020,0.0,1,-1.0
83-021,0.0,1,-1.0
83-022,0.0,1,-1.0
84-001,1.0,2,-1.0
84-002,1.0,2,-1.0
84-003,3.0,3,0.0
84-004,3.0,4,-1.0
84-005,1.0,2,-1.0
84-006,2.0,3,-1.0
84-007,1.0,2,-1.0
85-002,2.0,3,-1.0
85-005,2.0,3,-1.0
85-006,1.0,2,-1.0
85-007,0.0,1,-1.0
85-008,1.0,2,-1.0
85-009,1.0,2,-1.0
85-010,4.0,4,0.0
85-011,1.0,2,-1.0
85-012,1.0,1,0.0
85-013,1.0,2,-1.0
85-014,0.0,1,-1.0
85-015,2.0,3,-1.0
