v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
0.740763,26.3049,79.8445,7.29916,17.8033,48.7633,59.1915,33.887,61.2365,75.4668,33.2671,25.9016,22.6872,82.5424,1.56712,74.1242,38.5427,87.5814,10.1485,86.5188
55.139,23.8706,90.2439,22.9612,68.2178,82.3765,7.66016,64.1534,62.2245,74.8073,27.874,3.23293,39.7004,25.3207,24.5779,27.5758,51.3702,26.9474,80.2256,18.5467
6.69737,56.7654,94.2136,93.7979,34.8676,32.3235,19.699,44.9851,79.0624,21.1664,76.0444,65.7936,53.7454,71.8815,35.634,95.8151,25.2078,51.6826,76.2549,10.8013
58.7617,48.7086,55.551,68.6142,58.5707,38.4595,94.6912,10.3634,27.9001,42.0678,31.4625,24.9736,14.7274,22.5155,72.5735,81.8566,24.2312,64.2134,21.1956,15.3442
93.6574,84.3461,70.1389,8.74282,18.0057,52.8562,50.6443,18.7291,26.1132,10.1489,53.3229,8.85546,75.5272,99.7342,4.15861,75.3227,99.3613,76.2475,45.1095,94.9136
50.9669,48.6852,76.3973,7.42961,64.5546,50.4365,41.5747,88.0797,37.3456,70.9674,65.89,31.5198,25.9939,51.2517,29.7628,45.8048,13.0525,87.5879,97.9716,65.738
96.4055,69.0396,42.0664,95.5728,86.0674,73.9909,84.7234,99.5682,1.75355,47.131,99.4527,1.50084,68.4133,0.405328,76.4998,23.8853,71.5271,17.8984,29.0659,82.2824
91.038,53.8325,58.7159,54.7045,24.6365,50.7347,17.2528,45.8649,87.7471,70.6323,76.8792,51.3959,88.1969,7.10451,74.2536,70.3107,51.8424,61.6599,44.8761,83.5062
49.0854,62.6925,54.8873,95.0354,3.79786,42.6639,30.4192,13.8318,89.1273,37.0199,41.4805,35.6384,55.8771,55.6915,23.2426,35.2154,0.433789,65.6885,59.4845,74.2606
96.385,68.5579,98.7246,95.9202,52.9595,39.6256,96.6035,25.3228,46.8525,97.7668,82.7119,98.9608,89.1335,93.2509,50.6931,5.6006,76.8588,19.7646,56.9603,94.8487
47.8743,60.8098,13.8312,29.2892,8.43826,4.7258,11.6131,89.865,27.6897,26.3081,19.7866,55.23,33.3794,92.6406,56.9135,79.6197,19.8781,77.2132,92.7324,71.7121
25.6361,88.5984,46.2601,62.8071,20.4352,59.6878,15.5625,4.14443,23.9245,79.8059,78.9944,7.29899,75.1605,77.7701,54.1455,30.7957,53.2448,2.21256,90.9356,1.26564
11.5678,86.9913,25.165,14.6648,27.5397,67.7601,28.7121,79.3242,17.4551,76.8069,25.1226,57.6661,18.4031,19.6894,79.1734,13.7887,2.51304,51.875,34.9185,67.3621
6.66833,94.7661,65.1072,72.563,43.0768,59.5849,47.4891,69.1169,12.442,88.241,65.9366,33.8682,58.2932,34.3302,26.8138,56.8663,45.8932,62.6407,85.774,63.6125
12.0456,66.3469,42.8754,82.7939,22.4333,67.0362,61.4006,58.7631,25.0511,49.594,46.3235,0.120448,31.2198,38.083,95.1453,59.5329,50.5743,18.2573,96.8755,88.3903
91.0817,77.6222,26.7054,44.4907,34.948,44.696,74.6913,81.5713,42.6789,32.8203,62.1241,68.6011,0.749303,52.2071,64.671,18.3172,28.1495,24.3933,54.4471,35.2687
28.4306,15.1959,78.496,92.958,55.587,16.7007,33.1861,92.4102,38.9883,67.4801,96.9941,45.3666,51.4142,51.017,13.3038,81.6567,63.6212,83.9782,71.3805,34.5638
49.5586,65.3428,71.1076,73.0287,71.1337,50.5369,49.8687,52.264,69.8913,37.9245,10.7549,68.7237,76.3174,8.40216,42.2884,99.6643,44.7493,18.7984,89.5463,34.2852
29.8151,28.0436,81.5891,57.7119,20.0972,15.1156,62.836,35.1119,63.5909,8.5116,6.58193,29.001,75.7273,62.4722,49.7097,53.0847,91.0427,1.30235,98.9757,80.6601
29.4606,58.8929,88.5818,19.0146,28.9504,0.772752,83.4211,12.1255,93.6665,23.4405,10.5552,18.2636,16.7998,15.9083,67.3831,67.5186,28.0619,91.7177,48.4679,80.846
62.8394,5.61578,90.5722,69.0374,68.6849,7.9647,9.85638,67.6902,33.2603,13.2652,31.1491,58.9108,96.1427,34.2857,84.2485,65.8984,98.3007,99.579,1.19235,55.8968
40.4235,69.7145,29.8432,83.4171,49.3071,52.1486,39.0374,61.1924,35.9938,45.3007,10.633,1.3811,45.3828,94.0868,32.8164,36.1732,95.7424,59.837,4.19839,69.2599
85.0525,42.9103,40.8192,84.4225,0.501728,25.9547,83.406,75.1276,79.7987,27.7182,70.5794,82.0027,76.4356,86.2024,49.4357,7.98951,64.7115,23.0644,93.1628,31.23
69.4885,32.4893,84.846,30.2691,16.2793,37.5234,73.8336,88.2605,90.88,89.3807,69.0507,55.2465,58.1165,31.4491,16.7972,19.2621,46.1265,24.931,39.6485,91.1988
61.6022,20.2233,82.7087,22.7022,89.5687,35.1118,18.0148,55.5265,2.36231,0.487589,92.8459,9.34469,27.1915,20.497,35.9221,32.947,71.284,72.2176,60.6855,51.3534
71.5238,18.2319,9.27773,9.65059,42.0113,17.9209,39.8288,10.4939,0.9594,23.2695,8.28568,38.9954,56.8433,17.098,21.948,36.8756,94.2784,84.7298,42.2486,96.336
24.1743,31.8218,73.1226,72.8058,17.1621,34.7751,44.458,58.2267,76.4551,72.9053,28.2703,72.9964,28.6236,6.28475,84.6881,91.6578,19.4979,79.6509,27.5364,55.5238
75.6897,47.8913,54.0251,19.4556,83.823,30.0792,36.7153,88.9877,20.3911,73.682,65.2221,43.5,73.4636,88.2837,82.9113,44.4625,55.8141,86.9686,8.88992,88.4782
93.6494,61.9312,25.6032,94.0101,40.2765,13.0658,77.852,3.95917,61.8652,76.8197,23.0384,46.8466,52.0538,82.3691,7.18221,35.4717,26.1029,5.70701,43.339,18.3601
39.0082,13.0451,49.4926,66.6571,76.4482,19.7519,20.1292,93.7857,35.8853,42.4888,77.8632,85.8154,9.79545,16.5719,95.1426,81.4255,51.4611,56.8583,45.7039,99.3633
9.53487,47.6827,74.2789,1.48491,62.7506,55.7137,29.1348,45.636,26.8121,1.42788,79.4681,84.0277,66.1383,64.5258,76.1904,66.9103,8.28313,61.4744,75.5668,40.3257
6.28455,98.4003,14.4323,93.56,85.5395,39.3678,52.5861,58.3976,68.8478,4.89405,26.1275,60.8614,24.4072,19.5439,41.6274,55.7034,81.751,86.7719,89.7226,29.2244
72.5212,70.6593,25.9804,86.8163,93.7792,91.587,72.9848,83.5935,9.08953,57.8021,45.3113,55.9538,9.57704,14.8784,76.9963,45.8007,51.2808,54.4621,37.2444,88.2284
52.1128,9.62687,44.9189,64.2645,91.8449,52.7983,13.9626,9.60546,54.5706,70.0863,93.8062,99.253,67.6042,30.6005,36.2554,5.0514,77.6398,33.7098,99.1435,84.895
97.6787,26.2885,32.0245,52.6443,49.3927,13.061,81.545,89.9693,34.5125,80.3455,89.5939,80.1493,88.4326,66.6877,86.8905,0.266404,8.93329,95.1151,42.8241,53.4193
75.2608,76.3415,50.1377,39.3436,47.8967,78.1148,66.2214,5.64975,4.97931,50.3318,49.7034,27.5169,73.2218,43.6948,2.93523,7.6361,2.53382,36.4251,51.3733,58.5489
35.2839,57.0582,93.9784,47.4611,55.2341,18.5233,23.683,32.4717,25.5641,67.3367,33.5135,80.0865,44.4253,79.6555,91.1448,51.1745,1.52971,79.7845,78.6349,33.5791
51.526,18.2839,8.45626,20.1908,34.03,27.5312,56.747,8.59842,91.2429,98.9543,78.7732,93.368,0.584539,46.5425,84.6249,47.4654,8.24049,52.0308,25.7134,10.7016
46.2809,68.3633,99.2694,68.9619,50.7611,54.1912,8.87514,32.7827,57.3587,6.92438,58.4703,8.97422,83.3011,52.2207,93.829,32.6876,4.13529,31.2537,65.9544,93.8941
31.2374,73.2978,51.5036,42.0977,12.4877,25.4064,6.21363,72.8401,10.701,56.0109,18.6701,73.0392,66.676,63.7135,22.2148,34.9192,67.5135,49.3471,82.8945,24.0273
95.7628,33.6925,25.6372,63.6715,44.2235,44.0078,84.6094,58.634,82.7815,48.8582,89.5376,18.8729,89.7143,32.4936,32.5408,83.9779,70.2881,53.8587,15.6464,78.5395
6.17986,98.6842,79.0325,18.2024,54.9299,93.6614,64.85,82.4641,66.3048,8.55523,6.12431,57.4348,13.1268,51.4253,74.6783,40.7894,14.4666,96.5886,48.5775,16.149
52.5961,99.3732,54.4888,82.9842,90.1964,58.1811,78.1772,86.4867,51.5774,50.8847,15.3438,24.8421,85.2325,5.22879,95.4767,6.0645,0.276396,9.9231,34.7386,27.1741
9.2857,67.8122,64.629,23.5231,22.5826,95.4784,68.834,33.1306,70.9492,37.35,16.8039,40.9038,48.744,41.2478,83.0331,57.3202,5.28323,70.2456,18.6743,48.4836
46.6481,28.1913,71.9873,71.5643,93.4467,88.0489,85.3634,1.80705,24.7276,4.3173,79.6143,48.457,44.8819,12.1937,19.2518,8.78536,74.3012,19.3817,64.775,35.1018
81.0428,86.4633,67.1487,87.9964,24.1092,64.0532,78.7347,59.5104,24.9975,63.6189,12.4453,13.5288,80.0119,41.5487,77.5085,57.2812,36.9221,38.9776,77.6785,87.4613
5.62118,71.3025,22.7798,28.7283,13.744,15.8983,86.7196,21.4429,38.0574,44.8201,46.1505,70.3013,16.8976,34.7618,33.5497,2.84787,41.3534,0.445293,9.92321,52.4786
3.87596,92.5798,36.9329,56.0884,95.5909,92.0043,59.4633,59.1835,69.8585,78.232,63.2544,20.7618,7.39916,59.3556,39.2136,57.2467,1.59023,3.22452,88.2792,2.57932
65.3887,48.5751,71.9308,35.3208,26.6235,32.7269,42.5893,56.7971,16.3226,33.2912,37.955,19.3183,22.5007,13.029,87.5602,51.6779,64.9588,69.0865,73.5461,72.3516
34.0368,17.0028,12.8802,32.0433,41.6683,95.3143,89.2432,89.2085,6.87463,27.0261,16.6148,18.8357,0.318939,36.0638,89.2826,76.7401,42.3531,69.6565,33.1703,21.0499
82.4188,75.3089,36.1195,64.5669,62.8994,20.826,77.3091,27.2238,56.204,13.4894,19.7708,36.4338,12.4061,42.8548,10.0836,50.292,96.7188,41.553,82.6414,30.9399
98.1699,84.0131,3.11292,11.0566,52.3152,29.1245,88.5615,85.6515,99.6617,98.9691,12.3952,74.6208,51.0194,99.2243,7.86949,55.7873,81.5537,15.2949,99.7496,3.77571
58.8389,27.32,86.0026,38.1083,39.0785,63.2453,78.912,13.6814,6.06826,88.9293,30.5113,63.3534,33.4958,63.7914,31.155,81.7169,24.6296,67.3916,55.2352,77.3935
28.7429,68.2892,61.7417,33.4157,37.3591,82.6789,96.8848,59.381,25.9178,27.3121,63.5692,56.587,60.934,44.5089,81.3096,83.1063,26.5941,89.9827,75.136,9.33469
56.8782,56.1729,98.2429,25.9461,83.6284,3.58844,13.2647,65.6225,68.008,78.7157,24.9397,68.7928,42.95,49.6132,74.232,58.118,34.6445,31.2043,60.3718,15.1406
28.4146,92.8748,51.6947,13.4654,82.8212,74.6835,93.474,96.3104,23.7098,10.709,85.1116,28.3165,37.5458,9.97104,79.3127,89.4238,83.2296,37.5366,13.7541,94.423
92.6213,87.6622,95.477,63.756,89.7981,1.58577,32.9566,94.3265,8.70628,92.4385,80.6932,0.582928,33.9214,39.3902,65.2468,62.9592,37.0543,6.5052,26.3939,96.5507
24.9411,14.0518,75.5107,8.03504,16.4648,72.2103,70.8376,46.6964,50.3989,28.0611,67.4012,33.684,63.8142,46.3746,41.0743,24.8953,78.4863,65.5292,49.1505,77.264
12.9291,52.179,0.708847,29.541,35.0515,4.28769,24.886,89.9373,87.5169,83.3084,14.4288,50.7608,52.1936,58.0326,86.9797,11.6409,25.2724,79.2736,12.4914,70.298
25.466,84.9749,41.4406,72.0622,43.1621,33.698,80.4086,68.3729,84.1734,7.07597,25.1308,65.8504,64.3209,0.756854,23.6065,88.4075,15.5494,13.2469,88.5286,27.1823
66.5948,92.7386,48.1072,87.2708,54.076,87.4445,36.5672,29.8826,74.8779,38.6828,56.9897,35.7457,80.5585,82.3935,75.7934,0.895631,5.91389,71.508,61.0216,23.7684
88.5482,42.7931,98.8038,47.9974,56.6298,98.4849,69.6174,32.8198,27.9082,9.11874,57.1909,42.0319,31.3159,45.7277,89.3222,36.5039,18.4679,52.9032,91.7025,96.045
94.3196,20.095,83.7137,87.7352,69.8638,89.3805,98.4049,79.3718,53.1929,6.17733,28.0945,94.7971,29.4212,87.4946,0.201633,6.28881,94.101,69.3602,13.5406,55.6684
94.9757,69.6338,5.56102,96.7617,36.8871,48.7511,10.4586,96.5904,54.1556,83.998,22.739,9.66179,38.5076,24.6038,15.8104,15.6327,35.6022,62.8261,30.3795,61.6648
47.0777,97.5433,84.521,64.9684,28.9428,57.5361,55.0838,40.1465,66.4036,96.0382,90.277,57.0757,70.0924,99.1926,93.2192,30.9971,9.51266,48.7851,47.7469,43.2528
22.9699,92.9075,98.4035,95.266,57.9408,60.5726,79.9295,3.82128,35.0463,62.4316,13.6,50.7536,12.7885,45.0827,63.428,5.05616,56.5364,33.7453,66.1642,19.6197
95.0646,37.3062,8.00784,1.27231,93.3401,47.7725,60.489,96.2885,42.7205,27.2894,31.0349,4.9056,10.873,75.4044,47.8532,10.1432,49.898,78.4394,86.6822,72.7122
22.376,37.4757,66.1569,97.7528,33.8362,45.3225,52.1814,86.9427,79.0916,97.9253,19.4784,46.5962,45.2374,33.56,42.9879,2.99399,73.1847,16.6563,64.4756,98.8115
16.336,54.5629,84.3252,28.2694,5.19453,4.29829,32.4715,12.4815,9.07901,91.6957,97.0222,20.0585,42.6582,83.8574,23.7742,27.4437,91.3814,77.1535,77.0157,15.1247
30.4517,27.5278,57.1973,45.1141,7.41848,20.018,84.2497,89.591,48.3159,24.0078,47.4661,87.3947,32.3292,97.683,7.39787,50.0355,35.8829,69.8563,51.7567,15.4287
37.5392,93.2257,83.4802,74.0883,38.7731,92.934,24.3034,94.1345,39.3776,4.05035,10.1206,5.41456,77.8343,79.1953,59.5628,47.9531,45.733,99.0846,26.119,0.193652
64.1698,55.4078,78.6903,3.58938,74.5943,51.7059,84.6801,77.8854,24.2438,6.6941,73.5324,41.1836,27.5637,52.1279,73.87,23.4853,13.2308,29.0396,49.2859,92.1213
